部门名称,大类,官方参数1_backup,官方参数2_backup,2026实际编制,本_研_师_全局预测,本_研_师_全局vs参数1差值,本_研_师_全局vs参数2差值,本_研_师_部分池化预测,本_研_师_部分池化vs参数1差值,本_研_师_部分池化vs参数2差值,本_研_师_是否公课_全局预测,本_研_师_是否公课_全局vs参数1差值,本_研_师_是否公课_全局vs参数2差值,本_研_师_是否公课_部分池化预测,本_研_师_是否公课_部分池化vs参数1差值,本_研_师_是否公课_部分池化vs参数2差值,本_研_师_博士后_全局预测,本_研_师_博士后_全局vs参数1差值,本_研_师_博士后_全局vs参数2差值,本_研_师_博士后_部分池化预测,本_研_师_博士后_部分池化vs参数1差值,本_研_师_博士后_部分池化vs参数2差值
电子与信息工程学院,工,21.17,21.0,16,17.18,-3.99,-3.82,16.44,-4.73,-4.56,17.54,-3.63,-3.46,16.57,-4.59,-4.43,17.02,-4.15,-3.98,16.62,-4.54,-4.38
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,工,14.7,15.0,17,16.5,1.8,1.5,16.77,2.07,1.77,16.33,1.62,1.33,16.75,2.05,1.75,16.34,1.64,1.34,16.46,1.76,1.46
土木工程学院,工,26.05,25.0,27,26.26,0.21,1.26,26.65,0.6,1.65,26.62,0.57,1.62,26.8,0.75,1.8,26.5,0.45,1.5,26.64,0.59,1.64
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,工,18.55,18.0,20,19.36,0.82,1.36,19.64,1.09,1.64,18.84,0.29,0.84,19.37,0.83,1.37,19.22,0.68,1.22,18.68,0.13,0.68
建筑与城市规划学院,工,19.98,20.0,20,20.46,0.48,0.46,20.23,0.25,0.23,19.86,-0.11,-0.14,20.02,0.04,0.02,20.7,0.72,0.7,20.23,0.25,0.23
航空航天与力学学院,工,7.92,9.0,7,7.63,-0.3,-1.37,6.97,-0.95,-2.03,7.5,-0.42,-1.5,7.02,-0.9,-1.98,7.56,-0.36,-1.44,7.39,-0.54,-1.61
中德工程学院，职业技术教育学院,工,null,null,5,4.76,,,4.92,,,5.0,,,4.98,,,4.82,,,4.77,,
医学院,医,20.15,18.0,22,21.91,1.75,3.91,21.9,1.75,3.9,21.55,1.39,3.55,21.6,1.45,3.6,21.74,1.59,3.74,21.76,1.61,3.76
设计创意学院,文,6.51,7.0,9,6.32,-0.19,-0.68,7.86,1.35,0.86,6.66,0.15,-0.34,7.99,1.48,0.99,6.23,-0.28,-0.77,7.83,1.32,0.83
人文学院,文,8.06,9.0,7,7.91,-0.15,-1.09,7.35,-0.71,-1.65,7.71,-0.35,-1.29,7.27,-0.79,-1.73,7.74,-0.32,-1.26,7.28,-0.78,-1.72
外国语学院,文,11.14,12.0,12,10.53,-0.61,-1.47,11.12,-0.02,-0.88,10.41,-0.72,-1.59,11.08,-0.06,-0.92,10.58,-0.56,-1.42,11.14,0.0,-0.86
经济与管理学院,文,16.44,16.0,22,16.87,0.43,0.87,19.08,2.64,3.08,17.23,0.8,1.23,19.22,2.78,3.22,17.04,0.6,1.04,19.15,2.71,3.15
政治与国际关系学院,文,5.0,6.0,3,5.55,0.56,-0.45,4.23,-0.76,-1.77,5.8,0.8,-0.2,4.32,-0.67,-1.68,5.68,0.68,-0.32,4.28,-0.72,-1.72
艺术与传媒学院,文,7.83,8.0,7,7.11,-0.73,-0.89,7.04,-0.79,-0.96,6.92,-0.92,-1.08,6.97,-0.86,-1.03,7.21,-0.62,-0.79,7.08,-0.75,-0.92
上海国际知识产权学院,文,3.6,4.0,4,5.2,1.6,1.2,4.66,1.05,0.66,5.31,1.71,1.31,4.7,1.1,0.7,5.32,1.72,1.32,4.7,1.1,0.7
马克思主义学院,文,5.89,7.0,8,6.5,0.61,-0.5,7.37,1.48,0.37,6.01,0.13,-0.99,7.19,1.3,0.19,6.62,0.73,-0.38,7.42,1.53,0.42
国际文化交流学院,文,3.0,4.0,4,4.42,1.42,0.42,4.36,1.36,0.36,4.5,1.5,0.5,4.39,1.39,0.39,4.5,1.5,0.5,4.39,1.39,0.39
法学院,文,5.72,6.0,6,5.87,0.15,-0.13,6.02,0.3,0.02,6.17,0.45,0.17,6.13,0.41,0.13,6.01,0.29,0.01,6.07,0.35,0.07
体育部（国际足球学院）,文,7.38,8.0,11,7.34,-0.04,-0.66,9.36,1.98,1.36,7.62,0.24,-0.38,9.46,2.08,1.46,7.54,0.16,-0.46,9.43,2.05,1.43
医学与生命科学部,医,null,null,2,2.0,,,2.0,,,2.0,,,2.0,,,2.0,,,2.0,,
出国培训学院，留德预备部,文,null,null,0,3.97,,,1.97,,,3.91,,,1.95,,,3.99,,,1.97,,
网络教育学院，继续教育学院,文,null,null,9,4.02,,,6.98,,,3.98,,,6.96,,,4.05,,,6.99,,
中德学院,文,null,null,3,3.83,,,4.79,,,3.76,,,4.76,,,3.84,,,4.79,,
创新创业学院,文,null,null,8,3.83,,,5.05,,,3.76,,,5.03,,,3.84,,,5.06,,
新生院,工,null,null,3,3.73,,,3.45,,,3.69,,,3.54,,,3.74,,,4.51,,
国豪书院（未来技术学院）,工,null,null,8,7.03,,,7.67,,,6.73,,,7.52,,,7.0,,,7.18,,
国家卓越工程师学院，国际工程师学院,工,null,null,7,7.0,,,7.0,,,7.0,,,7.0,,,7.0,,,7.0,,
中意工程创新学院,工,null,null,4,4.0,,,4.0,,,4.0,,,4.0,,,4.0,,,4.0,,
启迪书院,工,null,null,4,3.74,,,3.86,,,3.87,,,3.93,,,3.74,,,4.12,,
口腔医学院,医,null,null,0,3.92,,,3.27,,,4.05,,,3.38,,,3.67,,,3.06,,
上海自主智能无人系统科学中心,工,null,null,11,5.1,,,8.51,,,5.21,,,8.54,,,5.19,,,6.54,,
同济大学上海国际设计创新学院,文,null,null,0,4.12,,,2.02,,,4.11,,,2.02,,,4.15,,,2.03,,
【汇总】全局_R²,,,,,0.861,,,0.861,,,0.862,,,0.862,,,0.868,,,0.868,,
【汇总】全局_MAPE(%),,,,,18.599,,,18.599,,,18.852,,,18.852,,,18.352,,,18.352,,
【汇总】全局_t_p(均值检验),,,,,0.953,,,0.953,,,0.956,,,0.956,,,0.946,,,0.946,,
【汇总】全局_均值检验结论,,,,,通过,,,通过,,,通过,,,通过,,,通过,,,通过,,
【汇总】全局_F_p(方差检验),,,,,0.534,,,0.534,,,0.516,,,0.516,,,0.532,,,0.532,,
【汇总】全局_方差检验结论,,,,,通过,,,通过,,,通过,,,通过,,,通过,,,通过,,
【汇总】全局_Levene_p,,,,,0.567,,,0.567,,,0.565,,,0.565,,,0.557,,,0.557,,
【汇总】全局_Levene检验结论,,,,,通过,,,通过,,,通过,,,通过,,,通过,,,通过,,
【汇总】全局_MAE_vs参数1,,,,,0.707,,,0.707,,,0.714,,,0.714,,,0.727,,,0.727,,
【汇总】全局_RMSE_vs参数1,,,,,1.096,,,1.096,,,1.044,,,1.044,,,1.116,,,1.116,,
【汇总】全局_MAE_vs参数2,,,,,1.022,,,1.022,,,0.998,,,0.998,,,1.049,,,1.049,,
【汇总】全局_RMSE_vs参数2,,,,,1.356,,,1.356,,,1.3,,,1.3,,,1.374,,,1.374,,
【汇总】部分池化_MAE_vs参数1,,,,,1.165,,,1.165,,,1.158,,,1.158,,,1.068,,,1.068,,
【汇总】部分池化_RMSE_vs参数1,,,,,1.507,,,1.507,,,1.492,,,1.492,,,1.442,,,1.442,,
【汇总】部分池化_MAE_vs参数2,,,,,1.405,,,1.405,,,1.396,,,1.396,,,1.297,,,1.297,,
【汇总】部分池化_RMSE_vs参数2,,,,,1.757,,,1.757,,,1.729,,,1.729,,,1.678,,,1.678,,
